Trial,ParticipantID,SearchOrder,Saccade,Direction,Amplitude,Duration,PeakVelocity,MeanVelocity,Blink,StartTime,EndTime,StartX,StartY,EndX,EndY,Task,ParticipantGender,Stimulus,SearchType,ActorGender,Directionality,Ostension
1,1_1_f1,1,3,RIGHT,6.52,35,330.06,186.42,false,1043,1077,644.8,819.7,1014.5,835.4,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,2,LEFT,4.45,30,269.3,148.43,false,745,774,850.7,705.9,638.1,806.3,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,1,DOWN,6.94,35,407.45,198.38,false,421,455,876.4,395.1,868.9,676.6,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,4,RIGHT,10.34,47,408.62,220.05,false,1214,1260,993.9,831.7,1550.3,686.3,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,6,LEFT,13.15,78,404.06,168.58,false,1762,1839,1422.5,793.8,784.5,518.6,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,7,LEFT,4.18,60,268.96,69.66,false,1977,2036,795.3,513.6,578.4,570.7,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,8,DOWN,2.48,26,168.09,95.53,false,2215,2240,570.3,572.4,474.2,646.8,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,5,DOWN,3.55,28,213.11,126.85,false,1550,1577,1527.1,665.9,1434.2,801,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,41,RIGHT,7.89,59,361.84,133.71,false,11196,11254,1229.6,577.7,1670,630,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,9,DOWN,1.53,48,151.8,31.89,false,2379,2426,470.1,642.8,452.5,705.9,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,10,RIGHT,4.68,27,302.07,173.29,false,2639,2665,480.7,700,679.8,833.1,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,11,RIGHT,6.57,39,335.49,168.44,false,2892,2930,667.1,834.5,1038.5,812.9,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,12,RIGHT,8.39,41,337.67,204.67,false,3152,3192,1012.3,815.9,1477.1,734.8,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,13,LEFT,3.68,29,205.56,126.79,false,3403,3431,1464.9,728.4,1260,701.2,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,14,RIGHT,1.91,22,127.8,86.91,false,3645,3666,1265.7,704.4,1353.9,658.8,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,15,RIGHT,6.41,37,319.38,173.19,false,3955,3991,1341,648.6,1699,708.8,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,16,DOWN,6.29,34,310.79,185.14,false,4344,4377,1661.1,685.7,1422,893.4,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,36,RIGHT,3.7,24,223.94,154.16,false,9772,9795,848,586.3,1051.1,588.2,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,37,LEFT,4.15,48,232.54,86.56,false,9938,9985,1026,590,798.8,575,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,38,RIGHT,9.05,52,416.89,173.98,false,10536,10587,807.8,588.3,1307,617.4,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,39,UP,0.94,19,61.26,49.59,false,10863,10881,1296.4,626.2,1300.5,587.5,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,40,LEFT,1.33,19,94.75,69.82,false,11041,11059,1287.7,582.5,1215.9,571.6,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,17,DOWN,2.61,25,163.31,104.28,false,4667,4691,1428.2,890,1469.5,1003.6,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,29,LEFT,4.29,45,239.69,95.27,false,7716,7760,1505.5,437.8,1269.9,457,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,30,LEFT,10.3,161,365.52,64,false,7977,8137,1280.4,459.9,824.5,224.8,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,18,LEFT,15.7,134,466.54,117.17,false,5026,5159,1466.2,1000.6,565,867.1,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,19,UP,2.76,33,158.55,83.71,false,5293,5325,574.1,868.4,659.8,767.9,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,20,RIGHT,6.96,37,359.23,188.01,false,5491,5527,629.1,774.3,1020.9,794.4,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,21,LEFT,3.02,27,194.73,112.02,false,5833,5859,1005.4,802.5,836.2,819.1,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,22,RIGHT,2.39,25,155.44,95.59,false,6009,6033,832.1,810.8,960.8,781.2,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,23,LEFT,0.68,11,55.07,62.2,false,6183,6193,960,780.5,922.3,775,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,24,UP,5.86,37,232,158.47,false,6412,6448,942.8,758,742.1,566,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,25,UP,2.87,27,159.15,106.29,false,6630,6656,751.8,537.1,654.5,446.4,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,26,LEFT,4.86,213,229.47,22.83,false,6873,7085,656,441.1,392,404.9,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,27,RIGHT,5.62,34,264.38,165.35,false,7222,7255,404,410.4,710.2,445.8,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,28,RIGHT,15.33,53,540.75,289.25,false,7427,7479,679.9,432.2,1527.2,452.3,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,31,RIGHT,13.99,60,542.92,233.19,false,8171,8230,837.6,212.3,1602.4,192.1,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,32,RIGHT,1.71,22,113.29,77.9,false,8424,8445,1610.2,194,1703.7,177.4,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,33,LEFT,24.52,392,562.27,62.56,true,8692,9083,1673.3,189.1,413.3,603.9,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,34,DOWN,1.52,21,96.57,72.24,false,9302,9322,416.8,617.6,448.6,676.6,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,35,RIGHT,7.66,37,377.22,207.14,false,9504,9540,456.5,673.9,869.5,590.3,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_2_f,NA,8,.,0.4,10,32.99,40.09,false,6091,6100,989,472,982.4,487.3,SocialEngagement,female,f_pl_o1_dir_+o,NA,f,dir,+o
1,1_2_f,NA,2,DOWN,5.65,50,328.47,113.02,false,1870,1919,1000.2,511,909.3,733.7,SocialEngagement,female,f_pl_o1_dir_+o,NA,f,dir,+o
1,1_2_f,NA,9,DOWN,0.74,17,57.97,43.71,false,7845,7861,974.3,464.4,964.3,493.2,SocialEngagement,female,f_pl_o1_dir_+o,NA,f,dir,+o
1,1_2_f,NA,7,UP,3.85,49,207.77,78.63,false,5899,5947,987.6,645.7,989.3,488.9,SocialEngagement,female,f_pl_o1_dir_+o,NA,f,dir,+o
1,1_2_f,NA,5,DOWN,4.3,47,317.2,91.48,false,4748,4794,991.4,486.8,1003.2,662,SocialEngagement,female,f_pl_o1_dir_+o,NA,f,dir,+o
1,1_2_f,NA,1,DOWN,3.11,204,949.94,15.22,true,636,839,1020.3,480.7,958.9,597.8,SocialEngagement,female,f_pl_o1_dir_+o,NA,f,dir,+o
1,1_2_f,NA,3,RIGHT,1.66,21,104.67,79.27,false,2165,2185,906.6,745.3,993.8,721.1,SocialEngagement,female,f_pl_o1_dir_+o,NA,f,dir,+o
1,1_2_f,NA,4,UP,4.53,50,251.72,90.68,false,2371,2420,986.1,721.7,991.1,534.7,SocialEngagement,female,f_pl_o1_dir_+o,NA,f,dir,+o
1,1_2_f,NA,6,.,0.49,10,38.1,48.78,false,4941,4950,999.8,687.7,992.8,668.1,SocialEngagement,female,f_pl_o1_dir_+o,NA,f,dir,+o
1,2_1_f,NA,2,RIGHT,0.73,14,54.67,52.26,false,737,750,924.7,470.7,959.9,457.2,SocialEngagement,female,m_pl_o1_div_+o,NA,m,div,+o
1,2_1_f,NA,9,.,0.46,16,44.58,28.97,false,6406,6421,974.1,448.9,954.6,437.3,SocialEngagement,female,m_pl_o1_div_+o,NA,m,div,+o
1,2_1_f,NA,5,DOWN,1.2,18,87.13,66.75,false,2357,2374,885.7,600.9,888.4,650.3,SocialEngagement,female,m_pl_o1_div_+o,NA,m,div,+o
1,2_1_f,NA,4,DOWN,3.69,27,226.21,136.63,false,2203,2229,953.8,458.2,887,598.8,SocialEngagement,female,m_pl_o1_div_+o,NA,m,div,+o
1,2_1_f,NA,1,UP,6.54,50,443.15,130.71,false,516,565,790.3,736.5,922.3,485.9,SocialEngagement,female,m_pl_o1_div_+o,NA,m,div,+o
1,2_1_f,NA,3,.,0.49,11,39.22,44.09,false,1203,1213,953.6,460.3,959.7,441.5,SocialEngagement,female,m_pl_o1_div_+o,NA,m,div,+o
1,2_1_f,NA,6,UP,4.83,54,272.62,89.43,false,3319,3372,808.2,654.7,929.6,479.8,SocialEngagement,female,m_pl_o1_div_+o,NA,m,div,+o
1,2_1_f,NA,8,RIGHT,0.68,20,60.4,33.93,false,4702,4721,930.1,431.7,957.1,450,SocialEngagement,female,m_pl_o1_div_+o,NA,m,div,+o
1,2_1_f,NA,7,.,0.45,159,696.39,2.82,true,4438,4596,938.9,458.7,938.1,476.6,SocialEngagement,female,m_pl_o1_div_+o,NA,m,div,+o
1,2_2_f2,2,12,RIGHT,1.21,18,78.64,66.95,false,3474,3491,215.1,619.6,284.3,613.8,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,10,LEFT,1.38,20,90.23,68.82,false,2703,2722,376.6,731.9,299.6,717.1,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,11,LEFT,1.6,25,103.46,63.94,false,2872,2896,310.5,723.5,220.8,742.6,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,13,UP,0.8,21,48.98,37.92,false,3723,3743,258.2,632.4,244.8,600.4,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,9,RIGHT,2.01,23,133.24,87.25,false,2441,2463,281.2,708.9,387.3,743.8,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,16,RIGHT,1.63,22,112.61,74.06,false,5374,5395,322.5,663.9,411.2,685.4,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,17,RIGHT,1.01,28,118.45,36.14,false,5633,5660,394,646.6,449.6,657.5,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,14,RIGHT,1.23,26,93.23,47.41,false,4354,4379,253.2,631.1,303.7,667.8,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,15,RIGHT,1.39,21,94,66.36,false,4868,4888,278.5,677.6,352.5,700.9,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,3,LEFT,3.7,28,216.68,132.17,false,695,722,464.8,772.2,275.3,698.8,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
